id,nama_file,ukuran_bytes,tanggal_unggah,sumber,konten
DUP-0006882,kontrak_keuangan_202405_1767.xml,497714,2024-08-20,cloud-storage-gcp,kontrak|keuangan|497714|arsip draft data file dokumen
DOC-0011255,backup_audit_202202_0581.zip,195736,2022-03-09,ftp-pusat,backup|audit|195736|rekap revisi arsip pending file
DOC-0010811,laporan_teknologi_202203_8461.pdf,2137142,2024-06-21,server-arsip-bandung,laporan|teknologi|2137142|file rekap data revisi
DOC-0049376,backup_logistik_202408_3340.json,3728249,2023-02-23,server-arsip-surabaya,backup|logistik|3728249|rekap approved dokumen total
DOC-0027752,gambar_manajemen_202308_9607.xlsx,1926027,2023-12-31,server-arsip-surabaya,gambar|manajemen|1926027|final approved total arsip periode
DOC-0040266,log_pemasaran_202211_8913.xlsx,87951,2023-07-08,backup-eksternal,log|pemasaran|87951|periode approved arsip revisi
DOC-0061121,laporan_sdm_202310_9823.txt,41550612,2024-03-23,server-arsip-surabaya,laporan|sdm|41550612|periode total file data arsip
DOC-0025482,presentasi_audit_202302_4552.zip,3121614,2024-11-10,server-arsip-jakarta,presentasi|audit|3121614|dokumen draft data file
DOC-0072949,log_sdm_202209_2687.txt,4150572,2023-08-21,nas-lokal-01,log|sdm|4150572|periode draft revisi pending file
DOC-0015794,dataset_operasional_202209_8092.png,19632860,2023-07-09,backup-eksternal,dataset|operasional|19632860|periode approved draft pending final
DOC-0047520,memo_hukum_202211_8463.json,1564984,2023-07-11,ftp-pusat,memo|hukum|1564984|dokumen periode rekap draft
DOC-0028230,dataset_sdm_202402_0042.png,471170609,2023-02-06,nas-lokal-02,dataset|sdm|471170609|pending arsip final total approved
DOC-0002735,gambar_riset_202209_9654.csv,1721252,2024-03-24,nas-lokal-02,gambar|riset|1721252|revisi arsip file
DOC-0033143,laporan_teknologi_202209_9956.docx,1124452,2023-05-15,portal-upload-web,laporan|teknologi|1124452|dokumen periode file arsip
DOC-0073676,presentasi_logistik_202306_7702.csv,149871,2024-02-19,ftp-pusat,presentasi|logistik|149871|revisi final draft total
DOC-0009036,laporan_audit_202307_9024.xml,1215424,2024-12-01,nas-lokal-01,laporan|audit|1215424|pending draft file dokumen revisi
DOC-0082336,memo_sdm_202311_6446.xlsx,3147203,2024-05-20,nas-lokal-01,memo|sdm|3147203|draft revisi dokumen rekap
DOC-0005748,presentasi_teknologi_202401_6986.pdf,2417826,2022-04-03,cloud-storage-gcp,presentasi|teknologi|2417826|arsip data rekap file
DOC-0038121,kontrak_riset_202206_0902.docx,334666,2023-06-25,nas-lokal-02,kontrak|riset|334666|approved file pending
DOC-0031855,backup_pemasaran_202209_6881.xlsx,1079931,2022-04-05,cloud-storage-aws,backup|pemasaran|1079931|draft total revisi
DOC-0013801,presentasi_pemasaran_202405_7835.xlsx,1849587,2023-08-10,cloud-storage-gcp,presentasi|pemasaran|1849587|total arsip pending file draft
DOC-0058018,dataset_pemasaran_202301_8200.csv,369092,2023-09-30,ftp-pusat,dataset|pemasaran|369092|data approved arsip revisi file
DOC-0059847,memo_hukum_202205_2942.zip,4389492,2023-07-08,server-arsip-bandung,memo|hukum|4389492|final dokumen data pending
DOC-0041415,invoice_logistik_202306_9669.jpg,339070,2023-03-15,portal-upload-web,invoice|logistik|339070|pending data periode
DOC-0044694,surat_logistik_202306_6005.docx,7813416,2022-11-02,portal-upload-web,surat|logistik|7813416|file rekap pending revisi
DOC-0048297,invoice_sdm_202404_9556.pdf,1949213,2023-07-29,backup-eksternal,invoice|sdm|1949213|total pending rekap draft final
DOC-0030223,laporan_audit_202309_6068.pdf,31352513,2024-02-23,server-arsip-bandung,laporan|audit|31352513|final data revisi file pending
DOC-0069337,surat_pemasaran_202204_3708.pdf,308422,2022-03-02,ftp-pusat,surat|pemasaran|308422|file approved periode
DOC-0037529,gambar_pemasaran_202212_9111.json,180592,2022-12-07,nas-lokal-02,gambar|pemasaran|180592|pending final approved periode
DOC-0035830,dataset_teknologi_202402_5512.xml,849535,2022-07-31,server-arsip-bandung,dataset|teknologi|849535|revisi file pending total
DOC-0024504,laporan_audit_202301_4549.csv,314823,2022-06-20,cloud-storage-aws,laporan|audit|314823|draft file pending rekap
DOC-0069363,log_operasional_202311_0758.png,4208442,2022-10-17,cloud-storage-gcp,log|operasional|4208442|draft data total pending file
DOC-0046843,gambar_operasional_202203_7260.zip,16921,2024-12-23,cloud-storage-gcp,gambar|operasional|16921|pending arsip dokumen
DOC-0026891,invoice_hukum_202412_7916.csv,478810,2023-07-25,nas-lokal-01,invoice|hukum|478810|revisi draft total file
DOC-0060970,memo_pemasaran_202211_8523.docx,36970938,2022-01-29,cloud-storage-aws,memo|pemasaran|36970938|rekap data periode arsip
DOC-0033115,dataset_teknologi_202311_1842.xlsx,1403914,2023-05-02,portal-upload-web,dataset|teknologi|1403914|data file draft pending
DUP-0008206,memo_operasional_202208_8568.csv,427549,2022-09-08,server-arsip-surabaya,memo|operasional|427549|pending rekap arsip dokumen draft
DUP-0009731,dataset_teknologi_202206_0685.png,4425636,2022-09-17,portal-upload-web,dataset|teknologi|4425636|data arsip periode dokumen total
DOC-0043628,presentasi_teknologi_202409_8626.xlsx,16861,2022-10-05,backup-eksternal,presentasi|teknologi|16861|draft arsip revisi
DUP-0005807,dataset_audit_202212_7606.png,1904907,2023-11-07,cloud-storage-aws,dataset|audit|1904907|file revisi arsip total rekap
DOC-0082826,invoice_riset_202402_3869.xml,40947493,2023-09-27,portal-upload-web,invoice|riset|40947493|arsip approved final total
DOC-0040166,laporan_sdm_202209_1898.xml,344358877,2022-02-07,ftp-pusat,laporan|sdm|344358877|total final dokumen revisi
DOC-0042854,log_teknologi_202303_7397.jpg,2148654,2024-12-01,cloud-storage-aws,log|teknologi|2148654|rekap arsip pending periode revisi
DOC-0027112,memo_sdm_202310_1650.json,17126,2024-06-12,nas-lokal-01,memo|sdm|17126|approved periode revisi
DOC-0043182,surat_audit_202411_8069.docx,4342822,2024-06-22,server-arsip-jakarta,surat|audit|4342822|pending periode data approved
DOC-0013198,surat_operasional_202211_9969.zip,467789,2023-12-27,cloud-storage-aws,surat|operasional|467789|data draft rekap file
