id,nama_file,ukuran_bytes,tanggal_unggah,sumber,konten
DUP-0000039,memo_teknologi_202206_1383.png,286503,2022-10-25,portal-upload-web,memo|teknologi|286503|pending approved data
BCH-0000393,presentasi_teknologi_202406_6340.docx,410498,2024-12-10,nas-lokal-03,presentasi_teknologi_202406_6340|410498|draft pending revisi
BCH-0000136,gambar_hukum_202407_4412.docx,10147659,2024-08-23,ftp-cabang,gambar_hukum_202407_4412|10147659|revisi draft arsip
BCH-0000092,memo_keuangan_202501_6208.rar,46729670,2024-10-01,nas-lokal-03,memo_keuangan_202501_6208|46729670|arsip total periode
BCH-0000884,dataset_riset_202406_5983.pdf,250604,2024-06-11,server-arsip-medan,dataset_riset_202406_5983|250604|total rekap periode
BCH-0000841,memo_keuangan_202512_2132.zip,1665489,2024-02-27,server-arsip-makassar,memo_keuangan_202512_2132|1665489|total rekap final
BCH-0000752,invoice_teknologi_202505_2208.txt,1381422,2024-05-26,ftp-cabang,invoice_teknologi_202505_2208|1381422|pending arsip rekap
BCH-0000716,surat_audit_202401_1703.pdf,444767,2024-08-13,cloud-storage-azure,surat_audit_202401_1703|444767|periode draft approved
BCH-0000506,laporan_hukum_202401_7342.rar,60059,2024-11-19,nas-lokal-03,laporan_hukum_202401_7342|60059|arsip rekap periode
BCH-0000606,backup_keuangan_202501_6507.xml,38163,2024-04-13,server-arsip-medan,backup_keuangan_202501_6507|38163|arsip rekap data
BCH-0000485,dataset_hukum_202410_2169.png,46240088,2024-10-16,server-arsip-makassar,dataset_hukum_202410_2169|46240088|data revisi total
BCH-0000771,invoice_logistik_202409_1661.csv,15155519,2024-04-04,nas-lokal-04,invoice_logistik_202409_1661|15155519|pending total approved
BCH-0000856,memo_riset_202411_6022.docx,1532336,2024-01-31,server-arsip-semarang,memo_riset_202411_6022|1532336|data revisi approved
BCH-0000124,laporan_keuangan_202510_8904.xml,2324824,2024-01-18,server-arsip-makassar,laporan_keuangan_202510_8904|2324824|rekap draft pending
DUP-0000019,log_manajemen_202209_1817.jpg,334348,2024-08-22,cloud-storage-gcp,log|manajemen|334348|rekap file draft approved final
BCH-0000703,kontrak_logistik_202401_0834.jpeg,32916746,2024-01-24,nas-lokal-04,kontrak_logistik_202401_0834|32916746|arsip data revisi
DUP-0000018,presentasi_logistik_202302_9239.csv,31369431,2023-02-14,portal-upload-web,presentasi|logistik|31369431|periode data arsip rekap pending
BCH-0000497,kontrak_hukum_202407_9073.json,1467775,2024-07-07,ftp-cabang,kontrak_hukum_202407_9073|1467775|total revisi periode
BCH-0000169,invoice_manajemen_202510_6655.pdf,4170137,2024-09-25,portal-upload-mobile,invoice_manajemen_202510_6655|4170137|total periode final
BCH-0000682,gambar_sdm_202505_1192.doc,4121335,2024-05-04,portal-upload-mobile,gambar_sdm_202505_1192|4121335|approved arsip final
BCH-0000176,kontrak_operasional_202508_5223.xlsx,150478,2024-05-07,server-arsip-makassar,kontrak_operasional_202508_5223|150478|approved total periode
BCH-0000509,backup_riset_202510_9525.xml,3631169,2024-06-30,server-arsip-semarang,backup_riset_202510_9525|3631169|periode arsip data
BCH-0000869,kontrak_sdm_202501_4816.rar,3695873,2024-08-22,server-arsip-makassar,kontrak_sdm_202501_4816|3695873|arsip approved periode
BCH-0000634,surat_audit_202404_8273.xml,1115268,2024-01-15,portal-upload-mobile,surat_audit_202404_8273|1115268|draft pending final
BCH-0000185,surat_logistik_202410_9378.xml,197622,2024-06-26,portal-upload-mobile,surat_logistik_202410_9378|197622|total periode rekap
BCH-0000852,backup_teknologi_202506_4762.csv,290574,2024-06-08,server-arsip-medan,backup_teknologi_202506_4762|290574|final revisi data
BCH-0000134,kontrak_keuangan_202406_3583.csv,2396917,2024-11-24,nas-lokal-04,kontrak_keuangan_202406_3583|2396917|arsip final total
BCH-0000722,backup_riset_202504_2587.xml,4922224,2024-05-08,nas-lokal-03,backup_riset_202504_2587|4922224|data total periode
BCH-0000799,surat_riset_202410_8214.json,950360,2024-12-01,ftp-cabang,surat_riset_202410_8214|950360|draft data rekap
BCH-0000049,invoice_riset_202411_5623.xls,1821830,2024-01-21,server-arsip-semarang,invoice_riset_202411_5623|1821830|total pending approved
BCH-0000078,memo_logistik_202409_2884.docx,320215,2024-12-17,cloud-storage-azure,memo_logistik_202409_2884|320215|draft pending approved
DUP-0000008,kontrak_teknologi_202408_2019.jpg,331262,2024-06-04,server-arsip-surabaya,kontrak|teknologi|331262|rekap periode data revisi dokumen
DUP-0000092,invoice_keuangan_202310_0751.xlsx,659913,2023-05-13,server-arsip-surabaya,invoice|keuangan|659913|periode data rekap
BCH-0000806,memo_operasional_202509_8451.xml,203317,2024-02-28,server-arsip-medan,memo_operasional_202509_8451|203317|arsip pending approved
BCH-0000108,presentasi_audit_202407_7252.zip,3104831,2024-02-19,portal-upload-mobile,presentasi_audit_202407_7252|3104831|rekap draft revisi
BCH-0000846,memo_teknologi_202510_3631.png,42266459,2024-03-21,server-arsip-semarang,memo_teknologi_202510_3631|42266459|periode draft total
DUP-0000090,memo_logistik_202406_7346.png,336472,2024-06-12,server-arsip-jakarta,memo|logistik|336472|final revisi pending
BCH-0000291,dataset_teknologi_202507_5043.xlsx,423020,2024-11-10,nas-lokal-03,dataset_teknologi_202507_5043|423020|approved final periode
BCH-0000739,laporan_pemasaran_202508_4162.jpg,777578,2024-05-06,cloud-storage-azure,laporan_pemasaran_202508_4162|777578|pending revisi approved
DUP-0000100,memo_riset_202401_0518.json,41274287,2024-05-31,server-arsip-bandung,memo|riset|41274287|pending draft approved file
BCH-0000361,memo_teknologi_202504_8404.rar,30562435,2024-11-19,portal-upload-mobile,memo_teknologi_202504_8404|30562435|periode approved arsip
BCH-0000629,presentasi_keuangan_202410_2267.xls,3928418,2024-03-23,server-arsip-semarang,presentasi_keuangan_202410_2267|3928418|data periode final
BCH-0000761,invoice_manajemen_202501_5544.json,853315,2024-12-22,portal-upload-mobile,invoice_manajemen_202501_5544|853315|arsip data final
BCH-0000413,presentasi_manajemen_202409_3047.csv,2786232,2024-11-26,nas-lokal-03,presentasi_manajemen_202409_3047|2786232|final rekap data
BCH-0000438,laporan_pemasaran_202505_6887.xls,454155809,2024-12-16,cloud-storage-azure,laporan_pemasaran_202505_6887|454155809|periode approved total
BCH-0000686,surat_logistik_202502_0991.json,385022,2024-04-11,nas-lokal-03,surat_logistik_202502_0991|385022|approved data revisi
BCH-0000251,dataset_operasional_202408_0562.xls,2117727,2024-08-28,server-arsip-medan,dataset_operasional_202408_0562|2117727|arsip approved draft
BCH-0000034,log_operasional_202502_4478.txt,1040426,2024-01-18,cloud-storage-azure,log_operasional_202502_4478|1040426|final draft total
BCH-0000512,presentasi_sdm_202502_1056.pdf,21445549,2024-04-11,server-arsip-medan,presentasi_sdm_202502_1056|21445549|revisi draft rekap
BCH-0000125,log_teknologi_202504_4246.png,3283678,2024-10-24,ftp-cabang,log_teknologi_202504_4246|3283678|total data arsip
BCH-0000549,invoice_sdm_202504_6831.json,28562,2024-09-25,server-arsip-semarang,invoice_sdm_202504_6831|28562|periode pending approved
DUP-0000082,presentasi_riset_202407_3963.zip,99344,2024-03-12,cloud-storage-aws,presentasi|riset|99344|data approved rekap file periode
