timestamp,struktur_data,dataset,total_record,record_unik,grup_duplikat,record_duplikat,waktu_ms
2026-05-26 10:44:20,Vector,arsip_0001000.csv,2999,901,899,2098,147
2026-05-26 13:13:55,Hash Table,arsip_0005000.csv,5000,4025,475,975,0
2026-05-26 13:15:57,Hash Table,arsip_0005000.csv,4999,4024,475,975,0
2026-05-26 13:17:01,Hash Table,arsip_0005000.csv,4999,4024,475,975,0
2026-05-26 13:17:28,Hash Table,hash_database.csv,4999,4024,475,975,0
2026-05-26 13:18:16,Vector,arsip_0005000.csv,5000,4025,475,975,692
2026-05-26 13:18:52,Vector,vector_database.csv,5000,4025,475,975,691
2026-05-26 13:35:02,Vector,vector_database.csv,10000,8039,961,1961,2968.9301
2026-05-26 13:35:23,Hash Table,hash_database.csv,10000,8039,961,1961,1.4687
2026-06-03 03:35:05,Vector,vector_database.csv,10000,8041,960,1959,340.8681
2026-06-03 03:41:29,Hash Table,hash_database.csv,1000,803,97,197,0.1725
2026-06-03 04:04:18,Vector,vector_database.csv,1000,803,97,197,3.1427
2026-06-03 04:05:37,Vector,arsip_0001000.csv,6000,4860,540,1140,114.6975
2026-06-03 04:11:51,Hash Table,hash_database.csv,1000,803,97,197,0.1652
2026-06-03 04:12:09,Hash Table,hash_database.csv,1000,803,97,197,0.1661
2026-06-03 04:12:56,Vector,vector_database.csv,1000,803,97,197,2.8975
2026-06-05 05:26:00,Hash Table,arsip_0050000.csv,50000,40276,4724,9724,4.9677
2026-06-05 05:27:51,Hash Table,arsip_0010000.csv,10000,8039,961,1961,0.9583
2026-06-05 10:08:49,Vector,vector_database.csv,2000,1614,186,386,9.8190
2026-06-05 10:09:38,Vector,vector_database.csv,2000,1614,186,386,9.7048
2026-06-05 10:16:52,Vector,arsip_0100000.csv,100000,80528,9472,19472,51875.3270
