id_dokumen,nama_file,ukuran_data,tanggal_unggah,sumber_data,konten
DOC-0000502,dataset_sdm_202306_0991.docx,3802733,2023-09-13,portal-upload-web,dataset|sdm|3802733|final file rekap pending
DOC-0004050,backup_logistik_202304_3342.jpg,1499968,2023-10-13,ftp-pusat,backup|logistik|1499968|periode arsip revisi draft
DOC-0003686,laporan_sdm_202407_3130.json,405800,2023-08-19,ftp-pusat,laporan|sdm|405800|final total draft
DOC-0003413,gambar_manajemen_202205_9399.json,214968,2022-02-06,server-arsip-bandung,gambar|manajemen|214968|file final rekap dokumen draft
DOC-0003203,dataset_teknologi_202306_2766.json,496425,2023-01-12,ftp-pusat,dataset|teknologi|496425|periode revisi file draft data
DOC-0000676,laporan_logistik_202207_9961.zip,4938300,2022-09-19,cloud-storage-aws,laporan|logistik|4938300|revisi final arsip data
DOC-0003350,gambar_manajemen_202303_3088.zip,585178,2022-06-20,nas-lokal-01,gambar|manajemen|585178|final revisi file dokumen total
DOC-0004400,kontrak_teknologi_202410_4387.json,4575166,2023-05-06,cloud-storage-gcp,kontrak|teknologi|4575166|pending total approved
DOC-0001956,surat_teknologi_202305_1423.pdf,3634862,2024-12-19,cloud-storage-gcp,surat|teknologi|3634862|approved data file
DOC-0003136,gambar_riset_202308_4485.docx,913755,2022-08-07,cloud-storage-gcp,gambar|riset|913755|arsip total draft data final
DOC-0000192,backup_riset_202308_2442.pdf,285384,2023-08-24,server-arsip-surabaya,backup|riset|285384|final periode revisi approved
DOC-0004210,surat_teknologi_202404_6321.zip,4858257,2024-08-03,server-arsip-jakarta,surat|teknologi|4858257|dokumen pending final
DOC-0002852,dataset_keuangan_202202_9588.csv,3497073,2022-03-06,nas-lokal-02,dataset|keuangan|3497073|approved revisi periode dokumen
DOC-0001148,laporan_operasional_202406_6701.json,6116614,2024-04-16,portal-upload-web,laporan|operasional|6116614|pending draft final
DUP-0000183,laporan_teknologi_202401_2186.json,282814428,2024-12-22,nas-lokal-01,laporan|teknologi|282814428|data approved dokumen file arsip
DOC-0002610,kontrak_teknologi_202303_5518.pdf,4590823,2024-05-07,server-arsip-bandung,kontrak|teknologi|4590823|total draft dokumen data revisi
DOC-0003061,memo_hukum_202204_4641.txt,6576548,2024-04-03,server-arsip-jakarta,memo|hukum|6576548|pending final dokumen approved file
DOC-0003327,memo_hukum_202210_5889.jpg,3756528,2024-02-26,nas-lokal-02,memo|hukum|3756528|total arsip periode
DOC-0001484,gambar_hukum_202410_7085.txt,412200,2022-12-27,backup-eksternal,gambar|hukum|412200|arsip approved total periode
DOC-0003472,invoice_keuangan_202202_7428.docx,77758,2023-09-18,backup-eksternal,invoice|keuangan|77758|file arsip total draft
DUP-0000150,gambar_teknologi_202204_0270.xml,217946,2023-08-25,nas-lokal-02,gambar|teknologi|217946|total pending periode
DOC-0002540,laporan_pemasaran_202306_7846.xml,476181,2023-03-07,ftp-pusat,laporan|pemasaran|476181|data final total rekap approved
DOC-0002831,gambar_audit_202406_5528.pdf,47339832,2023-03-08,server-arsip-jakarta,gambar|audit|47339832|total pending revisi
DOC-0003278,dataset_riset_202308_4633.jpg,49954680,2022-12-24,server-arsip-jakarta,dataset|riset|49954680|data rekap draft pending
DOC-0003589,memo_operasional_202402_3643.json,1416440,2022-07-14,server-arsip-surabaya,memo|operasional|1416440|final pending rekap data
DOC-0003290,dataset_keuangan_202201_6827.zip,284967,2022-10-29,nas-lokal-02,dataset|keuangan|284967|approved draft arsip dokumen
DOC-0000670,invoice_sdm_202408_7774.pdf,3059289,2023-01-05,nas-lokal-02,invoice|sdm|3059289|rekap revisi periode approved draft
DOC-0003120,invoice_audit_202310_9849.txt,418742194,2023-04-15,ftp-pusat,invoice|audit|418742194|total final draft
DUP-0000341,gambar_operasional_202301_2792.docx,147116,2024-06-10,server-arsip-bandung,gambar|operasional|147116|draft revisi final
DOC-0000877,dataset_pemasaran_202306_1637.json,29056778,2022-12-19,cloud-storage-gcp,dataset|pemasaran|29056778|approved final rekap dokumen
DUP-0000236,dataset_operasional_202206_5371.docx,247857,2023-02-19,server-arsip-bandung,dataset|operasional|247857|file periode draft
DOC-0002612,dataset_keuangan_202409_0951.txt,497652,2023-12-21,server-arsip-bandung,dataset|keuangan|497652|arsip revisi final data dokumen
DOC-0003698,surat_audit_202402_7131.xml,4328301,2022-10-09,backup-eksternal,surat|audit|4328301|periode final revisi approved
DOC-0002570,invoice_riset_202304_2959.csv,351103,2024-04-15,nas-lokal-01,invoice|riset|351103|revisi final approved
DOC-0002340,memo_manajemen_202410_2475.docx,15595,2022-08-15,nas-lokal-01,memo|manajemen|15595|pending periode draft
DOC-0003451,laporan_pemasaran_202409_3838.zip,300284,2022-02-18,portal-upload-web,laporan|pemasaran|300284|periode data file dokumen rekap
DOC-0001212,backup_pemasaran_202305_6479.xml,4794955,2022-01-06,backup-eksternal,backup|pemasaran|4794955|dokumen rekap pending draft total
DOC-0000802,log_audit_202412_4838.pdf,15742,2022-10-20,cloud-storage-gcp,log|audit|15742|data draft revisi
DOC-0003314,memo_pemasaran_202407_6208.xml,30608185,2024-08-14,nas-lokal-02,memo|pemasaran|30608185|data final approved total file
DOC-0003633,kontrak_teknologi_202201_3784.pdf,17286225,2024-10-04,portal-upload-web,kontrak|teknologi|17286225|dokumen arsip periode rekap final
DOC-0002539,gambar_pemasaran_202407_3477.json,167957,2022-11-01,ftp-pusat,gambar|pemasaran|167957|rekap data pending
DOC-0002470,surat_keuangan_202202_8018.xlsx,1396644,2024-12-16,server-arsip-bandung,surat|keuangan|1396644|rekap final periode revisi
DOC-0004246,invoice_pemasaran_202208_6973.xlsx,1955705,2024-08-24,portal-upload-web,invoice|pemasaran|1955705|file pending draft data
DOC-0003788,dataset_riset_202308_9430.csv,169204,2023-12-26,nas-lokal-01,dataset|riset|169204|file pending revisi arsip total
DOC-0003038,presentasi_manajemen_202409_9577.txt,375067,2022-06-21,server-arsip-jakarta,presentasi|manajemen|375067|final arsip periode draft
DOC-0002315,backup_teknologi_202206_5776.docx,3501025,2023-02-10,server-arsip-surabaya,backup|teknologi|3501025|pending dokumen data periode
